sentiment,text
5,except trains capital intensive limited mobility. driverless cars best worlds
5,want google driverless car.
5,driverless ? ooooh would awesome!!
5,much awesome! amazing video googles next phase driverless cars via
5,making driverless cars awesome
5,"could call driverless car tell car , take . whoo hoo"
5,"google' driverless cars, I shall / I take one!!!"
5,driverless taxis nyc would probably amazing application.
5,whole driverless car prototype thing awesome.
5,google' new driverless car no brake pedal steering wheel via / fantastic.
5,"riding driverless car bucket list, damn exciting. google"
5,future !! oh places go!! cannot wait driverless car. scichat
5,driverless car great idea someone like eye condition makes unable drive car.
5,need driverless cars.
5,google developed driverless car. / fucking chill.
5,"cannot wait driverless cars. soon, rarely drive many lives saved"
5,coming driverless cars.... I
5,want driverless car bad.
5,driverless cars could also end drunk driving forever save lives.
5,"skynet driverless cars. sick accidents, injuries, deaths, people driving recklessly time. must stop."
5,"driverless cars eliminate % traffic crowded cities, says mit:"
5,less road rage rt potential benefits driverless cars stunning
5,mercedes benz driverless research car looks amazing. satamadik halaa :(
5,"session, watching listening head googles driverless car program. absolutely fascinating!!"
5,"driverless cars sound awesome, actual economic impact going blow mind."
5,"cannot wait driverless cars come ! first time I excited motor vehicles, entire life."
5,"love times "" age horse less driver less travel"" mt google build driver less cars"
5,hour drive ahead ... driverless cars cannot get fast enough
5,driverless cars... think potential productivity &amp; safety gains. via
5,poll: drivers love idea driverless cars driverless selfdrivingcars autonomouscar cars
5,"google survey asked I / I would use driverless car. wished ""hell yes"" radio selection. cantwait takemymoney"
5,excited google glass driverless car demo couple minutes! yglsvs
5,driverless car appeals instead real estate chauffeur one become:
5,"imagine world virtually no duis massive traffic jams, increased productivity / wealth. driverless cars big us."
5,awesome last night seeing google' driverless car stanford tonight. heaven?
5,burkhard bilger: inside googles driverless car // man want self driving car badly!!
5,"yes, yo daughter says ""cannot wait"" driverless car."
5,driverless cars! love google takes big challenges shares insights students
5,total believe google' driverless car safer average driver
5,", one, excited self driving cars. google' driverless car safer average driver"
5,fun exciting mental exercise play thinking future driverless cars killerapp
5,would like go drive guys. driverless cars safest cars ever
5,driverless shared cars much less expensive much safer. obey rules. cannot wait! years?
5,driverless car?? need get one
5,volvos new suv super safe semi autonomous. driverless controls . | autopia | wired
5,"first ever tweet cruising driverless car. mindboggling, sensorial experience. thx google. whoahorsey"
5,amazon prime air almost incredible google' driverless car
5,jealous! gets ride driverless car!! still ready beta one!
5,age driverless cars cannot come soon enough.
5,wow! driverless vehicles? even streets .c.?
5,self driving cars? sounds good ! headline california okays driverless cars
5,""" push google, california legalizes driverless cars baby! seen cars like &amp; ."
5,future google...driverless cars...space elevators... mindblown
5,"automotive technology: driver less cars reduce accidents, ease congestion."
5,cool! rt score! california becomes second state ( nevada) legalize driverless cars:
5,"getting one! hurry ky! "" push google, california legalizes driverless cars"
5,say word driver less car california ... sweet
5,"google ' stocks already skyrocketing, driverless approved ca !"
5,"go google driverless cars, hope!"
4,cant wait googles driverless cars take less efficient route destination pass billboards deemed relevant.
4,google' driverless car desperately needed florida! codecon
4,finally google started making cars ! fully integrated driver less car prototype . no strafing wheel. recode
4,... apple buy ? wasnt sure news. company building driver less cars. way cooler.
4,"sorry, forgot . driverless cars cool though. smwf"
4,love newest driverless car no steering wheel gas pedal buttons: start panic
4,I writing word essay niggas google driverless cars making ground breaking shit. damn. ¡è_
4,driverless cars make buses &amp; taxis unnecessary solve parking issues. kids sports &amp; activities .
4,actually believe less people nervous seeing google driverless car come street one behind wheel.
4,driverless car invented google completed miles two accidents humans cars hit  / prius
4,driverless revolution rolls sent cnnmoney app android
4,need driverless cars.
4,"august, google driverless cars driven total miles reported accidents fault human driver."
4,eliminate caraccidents driverless cars roads. healthcare
4,"meet stanley, driverless car successfully navigated km road race"
4,"enjoyed panel saturday, thanks coming ottawa! regarding driverless cars theres hope!"
4,. dreams owning mr bean type google driverless car. dreams matt' bean imitation
4,""" / would love driverless cars cut biggest cost...make rides much cheaper"" codecon"
4,"uber' future car fleet driverless, cheaper: uber technologies inc. envisions future ..."
4,checking google driverless car. guess would call smart car. science!
4,finally google started making cars ! fully integrated driver less car prototype . no searing wheel. recode win
4,ceo board: qualcomm sees potential driverless cars: eyesight driverless cars. one market...
4,"time dmv says no longer drive, still get around w driverless car!"
4,"sure, look expensive next driverless vehicles"
4,driverless cars no steering/breaks. cannot wait taxis. live mph tops nyc
4,driverless cars go regional rail stations literal best possible solution .
4,google unveils driverless car complete no steering wheel crazy! watch videos. mind = blown
4,interest something blue? ¡¡¡¡÷¡_¡_ mt google' driverless car: good news bad drivers
4,"google self driverless car buttons, no steering wheel, no brake pedals. im definitely loving . tech innovation"
4,"based stupid people drive, let us hope cars driverless , soon"
4,google' driverless car dope
4,"yes ""still cars"", combine driverless cars tech &amp; little parking needed. topoli."
4,"bullseye rt loses driverless cars? insurance companies, no one dies crashes!"
4,trip google' driverless car via googlecar futureride bring soon!
4,¡÷¬ solar roadway! pave way driverless cars! cannot wait! thefutureisnow
4,"driverless cars public transportation done right, yes."
4,"cool! good video // driverless cars coming, whether want not"
